iter	Passed	Remaining
750	1908	3174
751	1911	3172
752	1914	3171
753	1918	3169
754	1921	3168
755	1924	3167
756	1927	3165
757	1930	3163
758	1933	3161
759	1937	3160
760	1940	3159
761	1943	3158
762	1947	3156
763	1950	3154
764	1953	3153
765	1957	3153
766	1960	3151
767	1964	3150
768	1967	3149
769	1971	3149
770	1974	3147
771	1978	3146
772	1981	3145
773	1984	3144
774	1988	3142
775	1991	3141
776	1995	3140
777	1998	3139
778	2001	3137
779	2005	3136
780	2008	3134
781	2011	3132
782	2014	3130
783	2017	3129
784	2020	3127
785	2023	3125
786	2027	3124
787	2030	3123
788	2033	3121
789	2036	3119
790	2040	3118
791	2043	3117
792	2047	3115
793	2050	3114
794	2053	3112
795	2056	3110
796	2060	3109
797	2063	3108
798	2066	3106
799	2069	3104
800	2073	3103
801	2076	3101
802	2079	3099
803	2082	3098
804	2086	3096
805	2089	3095
806	2092	3093
807	2095	3092
808	2099	3091
809	2102	3089
810	2106	3087
811	2109	3085
812	2112	3084
813	2115	3082
814	2119	3081
815	2122	3079
816	2125	3078
817	2129	3076
818	2133	3075
819	2136	3073
820	2139	3071
821	2142	3070
822	2145	3068
823	2149	3067
824	2152	3065
825	2155	3064
826	2159	3062
827	2162	3060
828	2165	3058
829	2168	3056
830	2171	3054
831	2174	3052
832	2177	3051
833	2181	3049
834	2184	3047
835	2187	3045
836	2190	3043
837	2193	3041
838	2197	3040
839	2200	3038
840	2203	3036
841	2206	3034
842	2209	3032
843	2212	3030
844	2215	3028
845	2218	3026
846	2221	3024
847	2224	3022
848	2228	3020
849	2231	3018
850	2234	3016
851	2237	3014
852	2240	3012
853	2243	3010
854	2246	3008
855	2249	3006
856	2253	3005
857	2256	3003
858	2259	3001
859	2262	2999
860	2265	2997
861	2269	2995
862	2272	2993
863	2275	2992
864	2279	2990
865	2282	2988
866	2285	2986
867	2288	2984
868	2292	2983
869	2295	2981
870	2298	2979
871	2301	2977
872	2304	2975
873	2307	2973
874	2311	2971
875	2314	2969
876	2317	2967
877	2320	2965
878	2323	2963
879	2326	2961
880	2329	2959
881	2333	2957
882	2336	2955
883	2339	2953
884	2343	2952
885	2346	2950
886	2349	2948
887	2352	2946
888	2356	2944
889	2359	2942
890	2362	2940
891	2365	2938
892	2368	2936
893	2372	2934
894	2375	2932
895	2378	2930
896	2381	2928
897	2384	2926
898	2387	2924
899	2390	2922
900	2393	2919
901	2396	2917
902	2400	2915
903	2403	2913
904	2406	2911
905	2409	2909
906	2412	2907
907	2415	2905
908	2418	2903
909	2421	2900
910	2425	2898
911	2428	2896
912	2431	2894
913	2434	2892
914	2438	2891
915	2441	2889
916	2444	2887
917	2447	2885
918	2451	2883
919	2454	2881
920	2457	2879
921	2460	2877
922	2463	2875
923	2467	2873
924	2470	2871
925	2474	2869
926	2477	2867
927	2480	2865
928	2484	2863
929	2487	2861
930	2490	2860
931	2494	2857
932	2497	2855
933	2500	2853
934	2503	2851
935	2507	2849
936	2510	2847
937	2513	2845
938	2516	2843
939	2519	2841
940	2523	2839
941	2526	2837
942	2529	2835
943	2533	2833
944	2536	2831
945	2539	2829
946	2542	2827
947	2545	2825
948	2549	2823
949	2552	2821
950	2555	2819
951	2558	2816
952	2562	2814
953	2565	2813
954	2568	2811
955	2572	2809
956	2575	2806
957	2578	2804
958	2581	2802
959	2584	2800
960	2588	2798
961	2591	2796
962	2594	2793
963	2597	2791
964	2601	2789
965	2604	2787
966	2607	2785
967	2610	2783
968	2614	2781
969	2617	2779
970	2620	2776
971	2622	2774
972	2626	2771
973	2629	2769
974	2632	2767
975	2636	2765
976	2639	2763
977	2642	2760
978	2645	2758
979	2648	2756
980	2651	2754
981	2654	2751
982	2657	2749
983	2660	2747
984	2663	2744
985	2666	2742
986	2669	2740
987	2672	2737
988	2675	2735
989	2679	2733
990	2681	2730
991	2685	2728
992	2687	2725
993	2690	2723
994	2694	2721
995	2697	2718
996	2700	2716
997	2703	2714
998	2706	2711
999	2710	2710
1000	2713	2708
1001	2716	2705
1002	2719	2703
1003	2722	2700
1004	2725	2698
1005	2728	2695
1006	2731	2693
1007	2733	2690
1008	2736	2687
1009	2739	2685
1010	2742	2683
1011	2745	2680
1012	2748	2677
1013	2751	2675
1014	2754	2672
1015	2757	2670
1016	2759	2667
1017	2762	2664
1018	2765	2662
1019	2768	2659
1020	2771	2657
1021	2773	2654
1022	2776	2652
1023	2779	2649
1024	2782	2646
1025	2785	2644
1026	2788	2641
1027	2791	2639
1028	2793	2636
1029	2796	2633
1030	2799	2630
1031	2802	2628
1032	2804	2625
1033	2807	2623
1034	2810	2620
1035	2813	2617
1036	2816	2615
1037	2819	2612
1038	2821	2609
1039	2824	2607
1040	2826	2604
1041	2829	2601
1042	2832	2598
1043	2834	2595
1044	2837	2593
1045	2840	2590
1046	2842	2587
1047	2845	2584
1048	2847	2581
1049	2850	2578
1050	2852	2575
1051	2855	2573
1052	2858	2570
1053	2860	2567
1054	2863	2564
1055	2865	2561
1056	2868	2558
1057	2870	2555
1058	2873	2553
1059	2875	2550
1060	2878	2547
1061	2880	2544
1062	2883	2541
1063	2885	2538
1064	2888	2535
1065	2890	2532
1066	2893	2529
1067	2895	2526
1068	2898	2524
1069	2900	2521
1070	2903	2518
1071	2905	2515
1072	2908	2513
1073	2911	2510
1074	2914	2507
1075	2916	2504
1076	2919	2501
1077	2921	2498
1078	2924	2495
1079	2926	2492
1080	2929	2490
1081	2931	2487
1082	2934	2484
1083	2936	2481
1084	2939	2478
1085	2941	2476
1086	2944	2473
1087	2947	2470
1088	2949	2467
1089	2952	2464
1090	2955	2462
1091	2957	2459
1092	2960	2456
1093	2962	2453
1094	2965	2450
1095	2967	2447
1096	2970	2445
1097	2972	2442
1098	2975	2439
1099	2977	2436
1100	2980	2433
1101	2983	2430
1102	2985	2428
1103	2988	2425
1104	2990	2422
1105	2993	2419
1106	2995	2416
1107	2998	2413
1108	3000	2410
1109	3003	2408
1110	3005	2405
1111	3008	2402
1112	3010	2399
1113	3013	2396
1114	3016	2393
1115	3018	2390
1116	3020	2388
1117	3023	2385
1118	3026	2382
1119	3028	2379
1120	3031	2376
1121	3033	2374
1122	3036	2371
1123	3039	2368
1124	3041	2365
1125	3044	2362
1126	3046	2360
1127	3049	2357
1128	3052	2354
1129	3054	2351
1130	3057	2349
1131	3060	2346
1132	3062	2343
1133	3065	2340
1134	3067	2337
1135	3070	2335
1136	3072	2332
1137	3075	2329
1138	3078	2326
1139	3080	2323
1140	3083	2321
1141	3085	2318
1142	3088	2315
1143	3090	2312
1144	3092	2309
1145	3095	2306
1146	3097	2303
1147	3100	2301
1148	3103	2298
1149	3105	2295
1150	3108	2292
1151	3110	2290
1152	3113	2287
1153	3116	2284
1154	3118	2281
1155	3121	2278
1156	3124	2276
1157	3126	2273
1158	3129	2270
1159	3131	2267
1160	3134	2265
1161	3136	2262
1162	3139	2259
1163	3141	2256
1164	3144	2253
1165	3146	2250
1166	3149	2247
1167	3151	2245
1168	3154	2242
1169	3156	2239
1170	3159	2236
1171	3161	2233
1172	3164	2230
1173	3167	2228
1174	3169	2225
1175	3172	2222
1176	3174	2219
1177	3177	2217
1178	3179	2214
1179	3182	2211
1180	3184	2208
1181	3187	2205
1182	3190	2203
1183	3192	2200
1184	3195	2197
1185	3197	2194
1186	3200	2192
1187	3203	2189
1188	3205	2186
1189	3208	2184
1190	3211	2181
1191	3213	2178
1192	3216	2175
1193	3219	2172
1194	3221	2170
1195	3225	2168
1196	3227	2165
1197	3230	2162
1198	3232	2159
1199	3235	2157
1200	3238	2154
1201	3240	2151
1202	3243	2148
1203	3245	2145
1204	3248	2143
1205	3250	2140
1206	3253	2137
1207	3255	2134
1208	3258	2131
1209	3260	2129
1210	3263	2126
1211	3265	2123
1212	3268	2120
1213	3271	2117
1214	3273	2115
1215	3276	2112
1216	3278	2109
1217	3281	2106
1218	3283	2103
1219	3286	2101
1220	3289	2098
1221	3291	2095
1222	3294	2092
1223	3296	2090
1224	3299	2087
1225	3301	2084
1226	3304	2081
1227	3306	2078
1228	3309	2076
1229	3311	2073
1230	3314	2070
1231	3316	2067
1232	3319	2064
1233	3322	2062
1234	3324	2059
1235	3327	2056
1236	3329	2053
1237	3332	2050
1238	3334	2048
1239	3337	2045
1240	3339	2042
1241	3342	2039
1242	3344	2037
1243	3347	2034
1244	3349	2031
1245	3352	2028
1246	3354	2025
1247	3357	2023
1248	3360	2020
1249	3363	2017
1250	3365	2015
1251	3368	2012
1252	3370	2009
1253	3373	2006
1254	3375	2003
1255	3378	2001
1256	3380	1998
1257	3383	1995
1258	3385	1992
1259	3388	1989
1260	3390	1987
1261	3393	1984
1262	3395	1981
1263	3398	1978
1264	3400	1975
1265	3403	1973
1266	3405	1970
1267	3408	1967
1268	3410	1964
1269	3413	1961
1270	3415	1959
1271	3418	1956
1272	3420	1953
1273	3423	1950
1274	3425	1947
1275	3428	1945
1276	3430	1942
1277	3433	1939
1278	3435	1936
1279	3438	1933
1280	3440	1931
1281	3443	1928
1282	3445	1925
1283	3447	1922
1284	3450	1919
1285	3453	1917
1286	3455	1914
1287	3458	1911
1288	3460	1908
1289	3463	1906
1290	3465	1903
1291	3468	1900
1292	3470	1897
1293	3473	1894
1294	3475	1892
1295	3478	1889
1296	3480	1886
1297	3482	1883
1298	3485	1880
1299	3487	1878
1300	3490	1875
1301	3492	1872
1302	3495	1869
1303	3498	1867
1304	3500	1864
1305	3503	1861
1306	3505	1858
1307	3508	1856
1308	3510	1853
1309	3513	1850
1310	3515	1847
1311	3518	1844
1312	3520	1842
1313	3523	1839
1314	3525	1836
1315	3528	1833
1316	3530	1830
1317	3533	1828
1318	3535	1825
1319	3538	1822
1320	3540	1819
1321	3543	1817
1322	3545	1814
1323	3548	1811
1324	3550	1808
1325	3553	1806
1326	3555	1803
1327	3558	1800
1328	3560	1797
1329	3563	1795
1330	3565	1792
1331	3568	1789
1332	3571	1786
1333	3573	1784
1334	3576	1781
1335	3579	1778
1336	3581	1775
1337	3583	1773
1338	3586	1770
1339	3588	1767
1340	3591	1764
1341	3593	1762
1342	3596	1759
1343	3598	1756
1344	3601	1753
1345	3603	1751
1346	3606	1748
1347	3608	1745
1348	3611	1742
1349	3613	1739
1350	3616	1737
1351	3618	1734
1352	3621	1731
1353	3623	1728
1354	3625	1725
1355	3628	1723
1356	3630	1720
1357	3633	1717
1358	3635	1714
1359	3638	1712
1360	3640	1709
1361	3643	1706
1362	3645	1703
1363	3648	1701
1364	3650	1698
1365	3653	1695
1366	3655	1692
1367	3658	1690
1368	3660	1687
1369	3663	1684
1370	3665	1681
1371	3668	1679
1372	3670	1676
1373	3673	1673
1374	3675	1670
1375	3678	1668
1376	3680	1665
1377	3683	1662
1378	3685	1659
1379	3688	1657
1380	3690	1654
1381	3693	1651
1382	3696	1649
1383	3698	1646
1384	3701	1643
1385	3703	1640
1386	3706	1638
1387	3709	1635
1388	3711	1632
1389	3714	1630
1390	3716	1627
1391	3719	1624
1392	3722	1621
1393	3725	1619
1394	3727	1616
1395	3730	1613
1396	3732	1611
1397	3735	1608
1398	3737	1605
1399	3740	1602
1400	3742	1600
1401	3745	1597
1402	3748	1594
1403	3750	1592
1404	3753	1589
1405	3755	1586
